|成交日期| 交易所 |       品种       |      合约      |买/卖|   投/保    |  成交价  | 手数 |   成交额   |       开平       |  手续费  |  平仓盈亏  |     权利金收支      |  成交序号  |
|  Date  |Exchange|     Product      |   Instrument   | B/S |    S/H     |   Price  | Lots |  Turnover  |       O/C        |   Fee    |Realized P/L|Premium Received/Paid|  Trans.No. |
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|20190521|大商所  |玉米淀粉          |     cs1909     |   卖|投机        |  2450.000|    10|   245000.00|开                |     15.15|        0.00|                 0.00|10459970    |
|20190521|大商所  |玉米淀粉          |     cs1909     |   卖|投机        |  2452.000|     2|    49040.00|开                |      3.03|        0.00|                 0.00|10714368    |
|20190521|大商所  |玉米淀粉          |     cs1909     |   卖|投机        |  2452.000|    18|   441360.00|开                |     27.26|        0.00|                 0.00|10714370    |
|20190521|上期所  |白银              |     ag1912     |买   |投机        |  3560.000|     1|    53400.00|开                |      2.70|        0.00|                 0.00|000001282503|
|20190521|上期所  |螺纹钢            |     rb1910     |买   |投机        |  3801.000|     5|   190050.00|平昨              |     19.12|    -1300.00|                 0.00|000000154514|
|20190521|上期所  |螺纹钢            |     rb1910     |买   |投机        |  3794.000|    10|   379400.00|开                |     38.17|        0.00|                 0.00|000000197266|
|20190521|上期所  |热轧卷板          |     hc1910     |   卖|投机        |  3641.000|     2|    72820.00|开                |      7.33|        0.00|                 0.00|000000198222|
|20190521|上期所  |热轧卷板          |     hc1910     |   卖|投机        |  3641.000|     2|    72820.00|开                |      7.33|        0.00|                 0.00|000000198223|
|20190521|上期所  |热轧卷板          |     hc1910     |   卖|投机        |  3641.000|     1|    36410.00|开                |      3.66|        0.00|                 0.00|000000198224|
|20190521|上期所  |热轧卷板          |     hc1910     |   卖|投机        |  3641.000|     1|    36410.00|开                |      3.66|        0.00|                 0.00|000000198225|
|20190521|上期所  |热轧卷板          |     hc1910     |   卖|投机        |  3641.000|     4|   145640.00|开                |     14.65|        0.00|                 0.00|000000198226|
|20190521|上期所  |天然橡胶          |     ru1909     |买   |投机        | 12345.000|     5|   617250.00|平昨              |     28.15|    -9000.00|                 0.00|000001919794|
|20190521|上期所  |天然橡胶          |     ru1909     |   卖|投机        | 12410.000|     3|   372300.00|开                |     16.98|        0.00|                 0.00|000002019185|
|20190521|上期所  |天然橡胶          |     ru1909     |买   |投机        | 12380.000|     1|   123800.00|平今              |      5.65|      300.00|                 0.00|000002022826|
|20190521|上期所  |天然橡胶          |     ru1909     |买   |投机        | 12380.000|     2|   247600.00|平今              |     11.29|      600.00|                 0.00|000002022827|
|20190521|上期所  |天然橡胶          |     ru1909     |买   |投机        | 12365.000|     2|   247300.00|平昨              |     11.28|    -4000.00|                 0.00|000002038970|
|20190521|上期所  |铜                |     cu1907     |   卖|投机        | 47650.000|     1|   238250.00|开                |     12.06|        0.00|                 0.00|000000460843|
|20190521|上期所  |铜                |     cu1907     |买   |投机        | 47610.000|     1|   238050.00|平今              |      0.14|      200.00|                 0.00|000000749972|
|20190521|上期所  |铜                |     cu1907     |   卖|投机        | 47700.000|     1|   238500.00|平昨              |     12.07|     -200.00|                 0.00|000000887250|
|20190521|上期所  |铜                |     cu1907     |   卖|投机        | 47700.000|     1|   238500.00|平昨              |     12.07|     -200.00|                 0.00|000000887267|
|20190521|上期所  |铜                |     cu1907     |   卖|投机        | 47700.000|     3|   715500.00|平昨              |     36.20|     -600.00|                 0.00|000000887688|
|20190521|上期所  |铜                |     cu1907     |   卖|投机        | 47780.000|     1|   238900.00|平昨              |     12.09|      200.00|                 0.00|000001312556|
|20190521|上期所  |铜                |     cu1907     |   卖|投机        | 47790.000|     1|   238950.00|平昨              |     12.09|      250.00|                 0.00|000001323117|
|20190521|上期所  |铜                |     cu1907     |   卖|投机        | 47800.000|     1|   239000.00|平昨              |     12.09|      300.00|                 0.00|000001326395|
|20190521|上期所  |铜                |     cu1907     |   卖|投机        | 47800.000|     1|   239000.00|平昨              |     12.09|      300.00|                 0.00|000001330060|
|20190521|上期所  |铜                |     cu1907     |   卖|投机        | 47800.000|     1|   239000.00|平昨              |     12.09|      300.00|                 0.00|000001343362|
