|成交日期| 交易所 |       品种       |      合约      |买/卖|   投/保    |  成交价  | 手数 |   成交额   |       开平       |  手续费  |  平仓盈亏  |     权利金收支      |  成交序号  |
|  Date  |Exchange|     Product      |   Instrument   | B/S |    S/H     |   Price  | Lots |  Turnover  |       O/C        |   Fee    |Realized P/L|Premium Received/Paid|  Trans.No. |
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|20190927|郑商所  |玻璃              |     FG001      |买   |投机        |  1448.000|     1|    28960.00|  平              |      3.02|     -660.00|                 0.00|092700377359|
|20190927|郑商所  |玻璃              |     FG001      |买   |投机        |  1448.000|     2|    57920.00|  平              |      6.03|    -1320.00|                 0.00|092700377360|
|20190927|郑商所  |玻璃              |     FG001      |买   |投机        |  1448.000|    46|  1332160.00|  平              |    138.80|   -30360.00|                 0.00|092700377361|
|20190927|郑商所  |玻璃              |     FG001      |买   |投机        |  1448.000|     1|    28960.00|  平              |      3.02|     -660.00|                 0.00|092700377362|
|20190927|郑商所  |玻璃              |     FG001      |买   |投机        |  1448.000|     1|    28960.00|  平              |      3.02|     -660.00|                 0.00|092700377363|
|20190927|郑商所  |玻璃              |     FG001      |买   |投机        |  1448.000|     5|   144800.00|  平              |     15.09|    -3300.00|                 0.00|092700377364|
|20190927|郑商所  |玻璃              |     FG001      |   卖|投机        |  1442.000|     1|    28840.00|  平              |      3.02|      540.00|                 0.00|092703204065|
|20190927|郑商所  |玻璃              |     FG001      |   卖|投机        |  1442.000|     2|    57680.00|  平              |      6.03|     1080.00|                 0.00|092703204066|
|20190927|郑商所  |玻璃              |     FG001      |   卖|投机        |  1442.000|     7|   201880.00|  平              |     21.12|     3780.00|                 0.00|092703204067|
|20190927|郑商所  |玻璃              |     FG001      |   卖|投机        |  1443.000|     3|    86580.00|  平              |      9.05|     1680.00|                 0.00|092703237916|
|20190927|郑商所  |玻璃              |     FG001      |   卖|投机        |  1443.000|     1|    28860.00|  平              |      3.02|      560.00|                 0.00|092703237917|
|20190927|郑商所  |玻璃              |     FG001      |   卖|投机        |  1443.000|     5|   144300.00|  平              |     15.09|     2800.00|                 0.00|092703237918|
|20190927|郑商所  |甲醇              |     MA001      |   卖|投机        |  2340.000|     1|    23400.00|  平              |      2.01|     -490.00|                 0.00|092702216312|
|20190927|郑商所  |甲醇              |     MA001      |   卖|投机        |  2340.000|     2|    46800.00|  平              |      4.03|     -980.00|                 0.00|092702216313|
|20190927|郑商所  |甲醇              |     MA001      |   卖|投机        |  2340.000|     1|    23400.00|  平              |      2.01|     -490.00|                 0.00|092702216314|
|20190927|郑商所  |甲醇              |     MA001      |   卖|投机        |  2340.000|     2|    46800.00|  平              |      4.03|     -980.00|                 0.00|092702216315|
|20190927|郑商所  |甲醇              |     MA001      |   卖|投机        |  2340.000|     3|    70200.00|  平              |      6.04|    -1470.00|                 0.00|092702216316|
|20190927|郑商所  |甲醇              |     MA001      |   卖|投机        |  2340.000|     2|    46800.00|  平              |      4.03|     -980.00|                 0.00|092702216317|
|20190927|郑商所  |甲醇              |     MA001      |   卖|投机        |  2340.000|     3|    70200.00|  平              |      6.04|    -1470.00|                 0.00|092702216318|
|20190927|郑商所  |甲醇              |     MA001      |   卖|投机        |  2340.000|     1|    23400.00|  平              |      2.01|     -490.00|                 0.00|092702216319|
|20190927|郑商所  |甲醇              |     MA001      |   卖|投机        |  2340.000|     4|    93600.00|  平              |      8.06|    -1960.00|                 0.00|092702216320|
|20190927|郑商所  |甲醇              |     MA001      |   卖|投机        |  2340.000|     2|    46800.00|  平              |      4.03|     -980.00|                 0.00|092702216321|
|20190927|郑商所  |甲醇              |     MA001      |   卖|投机        |  2340.000|     1|    23400.00|  平              |      2.01|     -490.00|                 0.00|092702216322|
|20190927|郑商所  |甲醇              |     MA001      |   卖|投机        |  2340.000|     1|    23400.00|  平              |      2.01|     -490.00|                 0.00|092702216323|
|20190927|郑商所  |甲醇              |     MA001      |   卖|投机        |  2340.000|     3|    70200.00|  平              |      6.04|    -1470.00|                 0.00|092702216324|
|20190927|郑商所  |甲醇              |     MA001      |   卖|投机        |  2340.000|     5|   117000.00|  平              |     10.07|    -2450.00|                 0.00|092702216325|
|20190927|郑商所  |甲醇              |     MA001      |   卖|投机        |  2340.000|     5|   117000.00|  平              |     10.07|    -2450.00|                 0.00|092702216326|
|20190927|郑商所  |甲醇              |     MA001      |   卖|投机        |  2340.000|     1|    23400.00|  平              |      2.01|     -490.00|                 0.00|092703277166|
|20190927|郑商所  |甲醇              |     MA001      |   卖|投机        |  2340.000|     1|    23400.00|  平              |      2.01|     -490.00|                 0.00|092703277168|
|20190927|郑商所  |甲醇              |     MA001      |   卖|投机        |  2340.000|     1|    23400.00|  平              |      2.01|     -490.00|                 0.00|092703277170|
|20190927|郑商所  |甲醇              |     MA001      |   卖|投机        |  2340.000|     2|    46800.00|  平              |      4.03|     -980.00|                 0.00|092703280966|
|20190927|郑商所  |甲醇              |     MA001      |   卖|投机        |  2340.000|     1|    23400.00|  平              |      2.01|     -490.00|                 0.00|092703280967|
|20190927|郑商所  |精对苯二甲酸      |     TA001      |买   |投机        |  5096.000|     3|    76440.00|开                |      9.05|        0.00|                 0.00|092703240838|
|20190927|郑商所  |精对苯二甲酸      |     TA001      |买   |投机        |  5096.000|     3|    76440.00|开                |      9.05|        0.00|                 0.00|092703241284|
|20190927|郑商所  |精对苯二甲酸      |     TA001      |   卖|投机        |  5098.000|     3|    76470.00|  平              |      0.05|     -600.00|                 0.00|092703250212|
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|共 129条|        |                  |                      |            |          |   533| 23190560.00|                  |   1910.07|  -156030.00|              -350.00|            |
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
能源中心---INE  上期所---SHFE   中金所---CFFEX  大商所---DCE   郑商所---CZCE
买---Buy   卖---Sell
投机---Speculation  套保---Hedge  套利---Arbitrage  一般---General  交易---Trade  做市商---Market Maker
开---Open 平---Close 平今---Close Today 强平---Forced Liquidation 平昨---Close Prev. 强减---Forced Reduction 本地强平---Local Forced Liquidation 

                                                         平仓明细 Position Closed 
----------------------------------------------------------------------------------------------------------------------------------------------------------------------
| 平仓日期 | 交易所 |       品种       |      合约      |开仓日期 |买/卖|   手数   |     开仓价    |     昨结算     |   成交价   |  平仓盈亏  |     权利金收支      |
|Close Date|Exchange|      Product     |   Instrument   |Open Date| B/S |   Lots   |Pos. Open Price|   Prev. Sttl   |Trans. Price|Realized P/L|Premium Received/Paid|
----------------------------------------------------------------------------------------------------------------------------------------------------------------------
|20190927  |大商所  |豆粕期权          |m2001-C-2900    |20190927 |买   |         1|         63.500|          72.500|      64.000|        0.00|              -640.000|
|20190927  |大商所  |豆粕期权          |m2001-C-2900    |20190927 |买   |         1|         63.500|          72.500|      64.000|        0.00|              -640.000|
|20190927  |大商所  |豆粕期权          |m2001-C-2900    |20190927 |   卖|         2|         63.500|          72.500|      64.000|        0.00|              1280.000|
|20190927  |大商所  |豆粕期权          |m2001-P-2550    |20190925 |买   |         1|          3.000|           6.000|       3.500|        0.00|               -35.000|
|20190927  |大商所  |豆粕期权          |m2001-P-2550    |20190925 |买   |         1|          3.000|           6.000|       3.500|        0.00|               -35.000|
|20190927  |大商所  |豆粕期权          |m2001-P-2550    |20190925 |买   |         1|          3.000|           6.000|       3.500|        0.00|               -35.000|
|20190927  |大商所  |豆粕期权          |m2001-P-2550    |20190925 |买   |         1|          3.000|           6.000|       3.500|        0.00|               -35.000|
