|成交日期| 交易所 |       品种       |      合约      |买/卖|   投/保    |  成交价  | 手数 |   成交额   |       开平       |  手续费  |  平仓盈亏  |     权利金收支      |  成交序号  |
|  Date  |Exchange|     Product      |   Instrument   | B/S |    S/H     |   Price  | Lots |  Turnover  |       O/C        |   Fee    |Realized P/L|Premium Received/Paid|  Trans.No. |
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|20191009|大商所  |黄玉米            |     c2005      |买   |投机        |  1903.000|    16|   304480.00|  平              |     19.38|    -1760.00|                 0.00|10638203    |
|20191009|大商所  |黄玉米            |     c2005      |买   |投机        |  1903.000|     1|    19030.00|  平              |      1.21|     -110.00|                 0.00|10638204    |
|20191009|大商所  |黄玉米            |     c2005      |买   |投机        |  1903.000|    17|   323510.00|  平              |     20.59|    -1870.00|                 0.00|10638406    |
|20191009|大商所  |黄玉米            |     c2005      |买   |投机        |  1903.000|    21|   399630.00|  平              |     25.44|    -2310.00|                 0.00|10638526    |
|20191009|大商所  |黄玉米            |     c2005      |买   |投机        |  1903.000|    11|   209330.00|  平              |     13.33|    -1210.00|                 0.00|10638741    |
|20191009|大商所  |铁矿石            |     i2001      |   卖|投机        |   640.000|     1|    64000.00|开                |      6.44|        0.00|                 0.00|30651356    |
|20191009|大商所  |铁矿石            |     i2001      |   卖|投机        |   640.000|     1|    64000.00|开                |      6.44|        0.00|                 0.00|30651357    |
|20191009|大商所  |铁矿石            |     i2001      |   卖|投机        |   640.000|     1|    64000.00|开                |      6.44|        0.00|                 0.00|30651358    |
|20191009|大商所  |铁矿石            |     i2001      |   卖|投机        |   640.000|     1|    64000.00|开                |      6.44|        0.00|                 0.00|30651359    |
|20191009|大商所  |铁矿石            |     i2001      |   卖|投机        |   640.000|     5|   320000.00|开                |     32.19|        0.00|                 0.00|30651360    |
|20191009|大商所  |铁矿石            |     i2001      |   卖|投机        |   640.000|     1|    64000.00|开                |      6.44|        0.00|                 0.00|30651361    |
|20191009|大商所  |铁矿石            |     i2001      |   卖|投机        |   640.000|     1|    64000.00|开                |      6.44|        0.00|                 0.00|30651362    |
|20191009|大商所  |铁矿石            |     i2001      |   卖|投机        |   640.000|     2|   128000.00|开                |     12.88|        0.00|                 0.00|30651363    |
|20191009|大商所  |铁矿石            |     i2001      |   卖|投机        |   640.000|     1|    64000.00|开                |      6.44|        0.00|                 0.00|30651364    |
|20191009|大商所  |铁矿石            |     i2001      |   卖|投机        |   640.000|     1|    64000.00|开                |      6.44|        0.00|                 0.00|30651365    |
|20191009|大商所  |铁矿石            |     i2001      |   卖|投机        |   640.000|     1|    64000.00|开                |      6.44|        0.00|                 0.00|30651366    |
