|成交日期| 交易所 |       品种       |      合约      |买/卖|   投/保    |  成交价  | 手数 |   成交额   |       开平       |  手续费  |  平仓盈亏  |     权利金收支      |  成交序号  |
|  Date  |Exchange|     Product      |   Instrument   | B/S |    S/H     |   Price  | Lots |  Turnover  |       O/C        |   Fee    |Realized P/L|Premium Received/Paid|  Trans.No. |
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|20190603|大商所  |线型低密度聚乙烯  |     l2001      |   卖|投机        |  7565.000|     1|    37825.00|开                |      2.02|        0.00|                 0.00|30793932    |
|20190603|大商所  |线型低密度聚乙烯  |     l2001      |   卖|投机        |  7565.000|     3|   113475.00|开                |      6.07|        0.00|                 0.00|30793933    |
|20190603|大商所  |线型低密度聚乙烯  |     l2001      |   卖|投机        |  7565.000|     2|    75650.00|开                |      4.05|        0.00|                 0.00|30793934    |
|20190603|大商所  |线型低密度聚乙烯  |     l2001      |   卖|投机        |  7565.000|     1|    37825.00|开                |      2.02|        0.00|                 0.00|30793935    |
|20190603|大商所  |线型低密度聚乙烯  |     l2001      |   卖|投机        |  7565.000|     1|    37825.00|开                |      2.02|        0.00|                 0.00|30793936    |
|20190603|大商所  |线型低密度聚乙烯  |     l2001      |   卖|投机        |  7565.000|     2|    75650.00|开                |      4.05|        0.00|                 0.00|30793937    |
|20190603|大商所  |线型低密度聚乙烯  |     l2001      |   卖|投机        |  7565.000|     2|    75650.00|开                |      4.05|        0.00|                 0.00|30793938    |
|20190603|大商所  |线型低密度聚乙烯  |     l2001      |   卖|投机        |  7565.000|     7|   264775.00|开                |     14.16|        0.00|                 0.00|30793939    |
|20190603|大商所  |线型低密度聚乙烯  |     l2001      |   卖|投机        |  7565.000|     1|    37825.00|开                |      2.02|        0.00|                 0.00|30793940    |
|20190603|大商所  |线型低密度聚乙烯  |     l2001      |   卖|投机        |  7565.000|     1|    37825.00|开                |      2.02|        0.00|                 0.00|30793941    |
|20190603|大商所  |线型低密度聚乙烯  |     l2001      |   卖|投机        |  7565.000|     1|    37825.00|开                |      2.02|        0.00|                 0.00|30793942    |
|20190603|大商所  |线型低密度聚乙烯  |     l2001      |   卖|投机        |  7565.000|     4|   151300.00|开                |      8.09|        0.00|                 0.00|30793943    |
|20190603|大商所  |线型低密度聚乙烯  |     l2001      |   卖|投机        |  7565.000|     2|    75650.00|开                |      4.05|        0.00|                 0.00|30793944    |
|20190603|大商所  |线型低密度聚乙烯  |     l2001      |   卖|投机        |  7565.000|     1|    37825.00|开                |      2.02|        0.00|                 0.00|30793946    |
|20190603|大商所  |线型低密度聚乙烯  |     l2001      |   卖|投机        |  7565.000|     1|    37825.00|开                |      2.02|        0.00|                 0.00|30793947    |
|20190603|大商所  |线型低密度聚乙烯  |     l2001      |   卖|投机        |  7565.000|     2|    75650.00|开                |      4.05|        0.00|                 0.00|30793948    |
