|成交日期| 交易所 |       品种       |      合约      |买/卖|   投/保    |  成交价  | 手数 |   成交额   |       开平       |  手续费  |  平仓盈亏  |     权利金收支      |  成交序号  |
|  Date  |Exchange|     Product      |   Instrument   | B/S |    S/H     |   Price  | Lots |  Turnover  |       O/C        |   Fee    |Realized P/L|Premium Received/Paid|  Trans.No. |
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|20191029|大商所  |豆粕期权          |  m2001-P-2850  |   卖|投机        |     6.500|     2|      130.00|开                |      2.10|        0.00|               130.00|10133686    |
|20191029|大商所  |豆粕期权          |  m2001-P-2850  |   卖|投机        |     6.500|     1|       65.00|开                |      1.05|        0.00|                65.00|10133699    |
|20191029|大商所  |豆粕期权          |  m2001-P-2850  |   卖|投机        |     6.500|     1|       65.00|开                |      1.05|        0.00|                65.00|10133701    |
|20191029|大商所  |豆粕期权          |  m2001-P-2850  |   卖|投机        |     6.500|     6|      390.00|开                |      6.30|        0.00|               390.00|10134350    |
|20191029|大商所  |豆粕期权          |  m2001-P-2850  |买   |投机        |     6.500|     5|      325.00|开                |      5.25|        0.00|              -325.00|10134352    |
|20191029|大商所  |豆粕期权          |  m2001-P-2850  |买   |投机        |     6.500|     2|      130.00|开                |      2.10|        0.00|              -130.00|10134353    |
|20191029|大商所  |豆粕期权          |  m2001-P-2850  |买   |投机        |     6.500|     3|      195.00|开                |      3.15|        0.00|              -195.00|10134354    |
|20191029|大商所  |豆粕期权          |  m2001-P-2850  |   卖|投机        |     6.500|    10|      650.00|开                |     10.50|        0.00|               650.00|10134486    |
|20191029|大商所  |豆粕期权          |  m2001-P-2850  |   卖|投机        |     7.000|    10|      700.00|  平              |      0.00|        0.00|               700.00|10624828    |
|20191029|大商所  |豆粕期权          |  m2001-P-2850  |买   |投机        |     7.000|     4|      280.00|  平              |      0.00|        0.00|              -280.00|10624830    |
|20191029|大商所  |豆粕期权          |  m2001-P-2850  |买   |投机        |     7.000|     6|      420.00|  平              |      0.00|        0.00|              -420.00|10624831    |
|20191029|大商所  |豆粕期权          |  m2001-P-2900  |买   |投机        |    15.500|    10|     1550.00|开                |     10.50|        0.00|             -1550.00|10068383    |
|20191029|大商所  |豆粕期权          |  m2001-P-2900  |   卖|投机        |    15.500|    10|     1550.00|开                |     10.50|        0.00|              1550.00|10068384    |
|20191029|大商所  |豆粕期权          |  m2001-P-2900  |买   |投机        |    15.500|    10|     1550.00|开                |     10.50|        0.00|             -1550.00|10072887    |
|20191029|大商所  |豆粕期权          |  m2001-P-2900  |   卖|投机        |    15.500|    10|     1550.00|  平              |      0.00|        0.00|              1550.00|10072902    |
|20191029|大商所  |豆粕期权          |  m2001-P-2900  |买   |投机        |    15.500|    10|     1550.00|  平              |      0.00|        0.00|             -1550.00|10073110    |
|20191029|大商所  |豆粕期权          |  m2001-P-2900  |   卖|投机        |    15.500|     6|      930.00|  平              |      0.00|        0.00|               930.00|10073113    |
|20191029|大商所  |豆粕期权          |  m2001-P-2900  |   卖|投机        |    15.500|     4|      620.00|  平              |      0.00|        0.00|               620.00|10073173    |
