|成交日期| 交易所 |       品种       |      合约      |买/卖|   投/保    |  成交价  | 手数 |   成交额   |       开平       |  手续费  |  平仓盈亏  |     权利金收支      |  成交序号  |
|  Date  |Exchange|     Product      |   Instrument   | B/S |    S/H     |   Price  | Lots |  Turnover  |       O/C        |   Fee    |Realized P/L|Premium Received/Paid|  Trans.No. |
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|20190730|大商所  |线型低密度聚乙烯  |     l1909      |买   |投机        |  7750.000|    10|   387500.00|  平              |     20.23|    -5000.00|                 0.00|30405256    |
|20190730|大商所  |线型低密度聚乙烯  |     l1909      |买   |投机        |  7745.000|    10|   387250.00|开                |     20.23|        0.00|                 0.00|30426759    |
|20190730|大商所  |线型低密度聚乙烯  |     l1909      |买   |投机        |  7755.000|    10|   387750.00|开                |     20.23|        0.00|                 0.00|30514381    |
|20190730|大商所  |线型低密度聚乙烯  |     l1909      |买   |投机        |  7735.000|    10|   386750.00|开                |     20.23|        0.00|                 0.00|30704657    |
|20190730|大商所  |线型低密度聚乙烯  |     l1909      |   卖|投机        |  7695.000|    12|   461700.00|  平              |      0.28|     2700.00|                 0.00|30919221    |
|20190730|大商所  |线型低密度聚乙烯  |     l1909      |   卖|投机        |  7695.000|    18|   692550.00|  平              |      0.42|     4050.00|                 0.00|30919222    |
|20190730|大商所  |线型低密度聚乙烯  |     l1909      |   卖|投机        |  7715.000|     1|    38575.00|  平              |      2.02|      325.00|                 0.00|31078040    |
|20190730|大商所  |线型低密度聚乙烯  |     l1909      |   卖|投机        |  7715.000|     1|    38575.00|  平              |      2.02|      325.00|                 0.00|31078133    |
|20190730|大商所  |线型低密度聚乙烯  |     l1909      |   卖|投机        |  7715.000|     1|    38575.00|  平              |      2.02|     -150.00|                 0.00|31078167    |
|20190730|大商所  |线型低密度聚乙烯  |     l1909      |   卖|投机        |  7715.000|     1|    38575.00|  平              |      2.02|     -150.00|                 0.00|31078212    |
|20190730|大商所  |线型低密度聚乙烯  |     l1909      |   卖|投机        |  7715.000|     1|    38575.00|  平              |      2.02|     -150.00|                 0.00|31078290    |
